Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
2001,Tony Hawk's Pro Skater 2,Neversoft,,,Activision,3.,
2001,Harry Potter and the Sorcerer's Stone,Argonaut Games,,,Electronic Arts,5.,
2001,Metal Gear Solid 2: Sons of Liberty,Konami Computer Entertainment Japan,,,Konami,6.,
2001,Gran Turismo 3: A-Spec,Polyphony Digital,,,Sony Computer Entertainment,7.,
2001,The Sims,Maxis,,,Electronic Arts,8.,
2001,Pokémon Gold/Silver,Game Freak,,,Nintendo,9.,
2002,Grand Theft Auto: Vice City,Rockstar North,,,Rockstar Games,1.,
2002,Madden NFL 2003,"EA Tiburon, Budcat Creations",,,Electronic Arts,2.,
2002,Grand Theft Auto III,DMA Design,,,Rockstar Games,3.,
2002,Spider-Man,Treyarch,,,Activision,4.,
2002,Medal of Honor: Frontline,EA Los Angeles,,,Electronic Arts,5.,
2002,Tony Hawk's Pro Skater 4,Neversoft,,,Activision,7.,
2002,Kingdom Hearts,Square,,,Square Electronic Arts,8.,
2002,NCAA Football 2003,EA Tiburon,,,Electronic Arts,9.,
2003,Madden NFL 2004,EA Tiburon,,,Electronic Arts,1.,
2003,Pokémon Ruby/Sapphire,Game Freak,,,Nintendo,3.,
2003,Enter the Matrix,Shiny Entertainment,,,Infogrames,4.,
2003,Tony Hawk's Underground,Neversoft,,,Activision,5.,
2003,The Sims,Maxis,,,Electronic Arts,6.,
2003,True Crime: Streets of LA,Luxoflux,,,Activision,7.,
2003,Medal of Honor: Rising Sun,EA Los Angeles,,,Electronic Arts,8.,
2003,The Legend of Zelda: The Wind Waker,Nintendo EAD,,,Nintendo,10,
2004,Grand Theft Auto: San Andreas,Rockstar North,,,Rockstar Games,1.,
2004,Halo 2,Bungie,,,Microsoft Game Studios,2.,
2004,Madden NFL 2005,EA Tiburon,,,Electronic Arts,3.,
2004,Spider-Man 2,Treyarch,,,Activision,5.,
2004,Pokémon FireRed/LeafGreen,Game Freak,,,Nintendo,6.,
2004,NCAA Football 2005,EA Tiburon,,,Electronic Arts,7.,
2004,Star Wars: Battlefront,Pandemic Studios,,,LucasArts,8.,
2004,NBA Live 2005,EA Canada,,,Electronic Arts,9.,
2005,Madden NFL 06,EA Tiburon,,,Electronic Arts,1.,
2005,Star Wars: Battlefront II,Pandemic Studios,,,LucasArts,2.,
2005,Call of Duty 2,Infinity Ward,,,Activision,3.,
2005,Need for Speed: Most Wanted,"EA Canada, EA Black Box",,,Electronic Arts,4.,
2005,Star Wars: Episode III – Revenge of the Sith,"The Collective, LucasArts",,,LucasArts,5.,
2005,NCAA Football 06,EA Tiburon,,,Electronic Arts,6.,
2005,Gran Turismo 4,Polyphony Digital,,,Sony Computer Entertainment,7.,
2005,Grand Theft Auto: San Andreas,Rockstar North,,,Rockstar Games,8.,
2005,NBA Live 06,EA Canada,,,Electronic Arts,9.,
2005,LEGO Star Wars,Traveller's Tales,,,Eidos Interactive,10,
2006,Madden NFL 07,EA Tiburon,,,Electronic Arts,1.,
2006,Gears of War,Epic Games,,,Microsoft Game Studios,2.,
2006,NCAA Football 07,EA Tiburon,,,Electronic Arts,3.,
2006,Guitar Hero II,Harmonix,,,Activision,4.,
