Year,Game,Platform,Publisher
3.,Destiny,Bungie,Activision Blizzard
4.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
5.,Minecraft,Mojang Studios,"Mojang Studios,Xbox Game Studios"
6.,Super Smash Bros. for Wii U,"Bandai Namco Studios,Sora Ltd.",Nintendo
7.,NBA 2K15,Visual Concepts,Take-Two Interactive
8.,Watch Dogs,Ubisoft Montreal,Ubisoft
9.,FIFA 15,EA Vancouver,Electronic Arts
10.,Call of Duty: Ghosts,Infinity Ward,Activision Blizzard
1.,Call of Duty: Black Ops III,Treyarch,Activision Blizzard
2.,Madden NFL 16,EA Tiburon,Electronic Arts
3.,Fallout 4,Bethesda Game Studios,Bethesda Softworks
4.,Star Wars Battlefront,DICE,Electronic Arts
5.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
7.,Minecraft,Mojang Studios,Xbox Game Studios
8.,FIFA 16,"EA Vancouver,EA Romania",Electronic Arts
9.,Mortal Kombat X,NetherRealm Studios,Warner Bros. Games
10.,Call of Duty: Advanced Warfare,Sledgehammer Games,Activision Blizzard
1.,Call of Duty: Infinite Warfare,Infinity Ward,Activision Blizzard
2.,Battlefield 1,DICE,Electronic Arts
3.,Tom Clancy's The Division,Massive Entertainment,Ubisoft
4.,NBA 2K17,Visual Concepts,Take-Two Interactive
5.,Madden NFL 17,EA Tiburon,Electronic Arts
6.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
7.,Overwatch,Blizzard Entertainment,Activision Blizzard
9.,FIFA 17,"EA Vancouver,EA Romania",Electronic Arts
10.,Final Fantasy XV,Square Enix Business Division 2,Square Enix
1.,Call of Duty: WWII,Sledgehammer Games,Activision Blizzard
2.,NBA 2K18,Visual Concepts,Take-Two Interactive
3.,Destiny 2,Bungie,Bungie
4.,Madden NFL 18,EA Tiburon,Electronic Arts
5.,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo
6.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
7.,Tom Clancy's Ghost Recon Wildlands,"Ubisoft Paris,Ubisoft Milan",Ubisoft
8.,Star Wars Battlefront II,DICE,Electronic Arts
9.,Super Mario Odyssey,Nintendo EPD,Nintendo
1.,Red Dead Redemption 2,Rockstar Games,Take-Two Interactive
2.,Call of Duty: Black Ops 4,Treyarch,Activision Blizzard
3.,NBA 2K19,Visual Concepts,Take-Two Interactive
4.,Madden NFL 19,EA Tiburon,Electronic Arts
5.,Super Smash Bros. Ultimate,"Bandai Namco Studios,Sora Ltd.",Nintendo
6.,Marvel's Spider-Man,Insomniac Games,Sony Interactive Entertainment
7.,Far Cry 5,"Ubisoft Montreal,Ubisoft Toronto",Ubisoft
8.,God of War,Santa Monica Studio,Sony Interactive Entertainment
9.,Monster Hunter: World,Capcom,Capcom
10.,Assassin's Creed Odyssey,Ubisoft Quebec,Ubisoft
1.,Call of Duty: Modern Warfare,Infinity Ward,Activision Blizzard
2.,NBA 2K20,Visual Concepts,Take-Two Interactive
3.,Madden NFL 20,EA Tiburon,Electronic Arts
4.,Borderlands 3,Gearbox Software,Take-Two Interactive
5.,Mortal Kombat 11,NetherRealm Studios,Warner Bros. Games
6.,Star Wars Jedi: Fallen Order,Respawn Entertainment,Electronic Arts
7.,Super Smash Bros. Ultimate,"Bandai Namco Studios,Sora Ltd.",Nintendo
8.,Kingdom Hearts III,Square Enix Business Division 3,Square Enix
9.,Tom Clancy's The Division 2,Massive Entertainment,Ubisoft
10.,Mario Kart 8 Deluxe,Nintendo EPD,Nintendo
1.,Call of Duty: Black Ops Cold War,"Treyarch,Raven Software",Activision Blizzard
2.,Call of Duty: Modern Warfare,Infinity Ward,
3.,NBA 2K21,Visual Concepts,Take-Two Interactive
4.,Animal Crossing: New Horizons,Nintendo EPD,Nintendo
5.,Madden NFL 21,EA Tiburon,Electronic Arts
6.,Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft
7.,The Last of Us Part II,Naughty Dog,Sony Interactive Entertainment
8.,Grand Theft Auto V,Rockstar North,Take-Two Interactive
8.,Ghost of Tsushima,Sucker Punch,Sony Interactive Entertainment
