,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
6536,Project X Zone,Namco Bandai Games,2013-06-25,3DS,Role-Playing,0.18,0.04,0.15,0.02,0.39,False
6537,RR64: Ridge Racer 64,Nintendo,2000-02-14,N64,Racing,0.32,0.07,0.0,0.0,0.4,False
6538,Top Gear Rally,Kemco,1997-10-01,N64,Racing,0.32,0.07,0.0,0.0,0.4,False
6539,Top Gear Rally,Nintendo,2003-10-28,N64,Racing,0.32,0.07,0.0,0.0,0.4,False
6540,X-COM: UFO Defense,Microprose,1994-03-01,PS,Strategy,0.05,0.04,0.0,0.01,0.09,False
6541,X-COM: UFO Defense,Microprose,1995-10-25,PS,Strategy,0.05,0.04,0.0,0.01,0.09,False
6542,X-COM: UFO Defense,Microprose,1993-12-31,PS,Strategy,0.05,0.04,0.0,0.01,0.09,False
6543,18 Wheeler: American Pro Trucker,Acclaim Entertainment,2001-11-14,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6544,18 Wheeler: American Pro Trucker,Acclaim Entertainment,2002-02-18,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6545,18 Wheeler: American Pro Trucker,Sega,2001-05-22,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6546,Atari Anthology,Atari,2004-11-22,PS2,Misc,0.33,0.01,0.0,0.05,0.4,True
6547,Atari Anthology,Atari,2004-11-16,PS2,Misc,0.33,0.01,0.0,0.05,0.4,True
6548,Bugs Bunny: Lost in Time,Infogrames,1999-05-31,PS,Platform,0.22,0.15,0.0,0.03,0.4,False
6549,Bugs Bunny: Lost in Time,Infogrames,1999-09-30,PS,Platform,0.22,0.15,0.0,0.03,0.4,False
6550,Hot Wheels: Beat That!,Activision,2007-09-25,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6551,Hot Wheels: Beat That!,Activision,2007-11-06,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6552,Hot Wheels: Beat That!,Activision,2007-09-26,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6553,Hot Wheels: Beat That!,Activision,2007-09-30,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6554,Hot Wheels: Beat That!,Activision,2007-11-16,PS2,Racing,0.2,0.15,0.0,0.05,0.4,True
6556,My Virtual Tutor: Reading Adventure First to Second Grade,Mentor Interactive,2009-09-11,DS,Misc,0.38,0.0,0.0,0.03,0.41,False
6557,Rocket Power: Dream Scheme,THQ,2001-11-03,GBA,Action,0.29,0.11,0.0,0.01,0.4,False
6558,Spore Hero,Electronic Arts,2009-10-06,Wii,Simulation,0.36,0.03,0.0,0.03,0.41,False
6559,Road Rash: Jailbreak,Electronic Arts,1999-12-31,PS,Racing,0.22,0.15,0.0,0.03,0.4,False
6560,Road Rash: Jailbreak,DSI Games,2003-09-17,PS,Racing,0.22,0.15,0.0,0.03,0.4,False
6561,Mother 3,Nintendo,2006-04-20,GBA,Role-Playing,0.0,0.0,0.39,0.01,0.4,False
6562,Nicktoons: Freeze Frame Frenzy,THQ,2004-09-27,GBA,Action,0.29,0.11,0.0,0.01,0.4,False
6563,Winter Sports 2: The Next Challenge,Crave Entertainment,2008-11-25,Wii,Sports,0.18,0.19,0.0,0.04,0.41,False
